@relation adult-weka.filters.unsupervised.instance.Resample-S1-Z20.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z5.0-no-replacement-weka.filters.unsupervised.instance.Resample-S1-Z70.0-no-replacement

@attribute age numeric
@attribute ' workclass' {' State-gov',' Self-emp-not-inc',' Private',' Federal-gov',' Local-gov',' ?',' Self-emp-inc',' Without-pay',' Never-worked'}
@attribute fnlwgt numeric
@attribute education {' Bachelors',' HS-grad',' 11th',' Masters',' 9th',' Some-college',' Assoc-acdm',' Assoc-voc',' 7th-8th',' Doctorate',' Prof-school',' 5th-6th',' 10th',' 1st-4th',' Preschool',' 12th'}
@attribute edu_num numeric
@attribute marital {' Never-married',' Married-civ-spouse',' Divorced',' Married-spouse-absent',' Separated',' Married-AF-spouse',' Widowed'}
@attribute occupation {' Adm-clerical',' Exec-managerial',' Handlers-cleaners',' Prof-specialty',' Other-service',' Sales',' Craft-repair',' Transport-moving',' Farming-fishing',' Machine-op-inspct',' Tech-support',' ?',' Protective-serv',' Armed-Forces',' Priv-house-serv'}
@attribute relationship {' Not-in-family',' Husband',' Wife',' Own-child',' Unmarried',' Other-relative'}
@attribute race {' White',' Black',' Asian-Pac-Islander',' Amer-Indian-Eskimo',' Other'}
@attribute sex {' Male',' Female'}
@attribute cap_gain numeric
@attribute cap_loss numeric
@attribute hr_per_wk numeric
@attribute native {' United-States',' Cuba',' Jamaica',' India',' ?',' Mexico',' South',' Puerto-Rico',' Honduras',' England',' Canada',' Germany',' Iran',' Philippines',' Italy',' Poland',' Columbia',' Cambodia',' Thailand',' Ecuador',' Laos',' Taiwan',' Haiti',' Portugal',' Dominican-Republic',' El-Salvador',' France',' Guatemala',' China',' Japan',' Yugoslavia',' Peru',' Outlying-US(Guam-USVI-etc)',' Scotland',' Trinadad&Tobago',' Greece',' Nicaragua',' Vietnam',' Hong',' Ireland',' Hungary',' Holand-Netherlands'}
@attribute class {' <=50K',' >50K'}

@data
34,' Private',203408,' Bachelors',13,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',7688,0,50,' United-States',' >50K'
42,' Private',245626,' HS-grad',9,' Married-civ-spouse',' Craft-repair',' Husband',' Amer-Indian-Eskimo',' Male',0,0,60,' United-States',' <=50K'
54,' Private',182854,' HS-grad',9,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,45,' United-States',' <=50K'
62,' Private',160143,' Prof-school',15,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,30,' United-States',' >50K'
37,' Private',93717,' Some-college',10,' Married-civ-spouse',' Adm-clerical',' Wife',' White',' Female',7298,0,45,' United-States',' >50K'
31,' Private',300687,' HS-grad',9,' Never-married',' Other-service',' Not-in-family',' Black',' Male',0,0,40,' United-States',' <=50K'
25,' Private',503012,' 5th-6th',3,' Never-married',' Craft-repair',' Not-in-family',' White',' Male',0,0,40,' Mexico',' <=50K'
43,' Self-emp-inc',175485,' Some-college',10,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
55,' Self-emp-not-inc',149168,' HS-grad',9,' Married-civ-spouse',' Farming-fishing',' Husband',' White',' Male',0,0,30,' United-States',' <=50K'
71,' Local-gov',365996,' Bachelors',13,' Widowed',' Prof-specialty',' Unmarried',' White',' Female',0,0,6,' United-States',' <=50K'
21,' Private',194723,' Some-college',10,' Never-married',' Adm-clerical',' Other-relative',' White',' Female',0,0,40,' Mexico',' <=50K'
61,' Private',123273,' 5th-6th',3,' Divorced',' Transport-moving',' Not-in-family',' White',' Male',0,1876,56,' United-States',' <=50K'
42,' Self-emp-not-inc',64632,' HS-grad',9,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,50,' United-States',' <=50K'
60,' Private',191188,' HS-grad',9,' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
56,' Federal-gov',130454,' Bachelors',13,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
33,' Private',637222,' 12th',8,' Divorced',' Machine-op-inspct',' Unmarried',' Black',' Female',0,0,40,' United-States',' <=50K'
28,' Private',142264,' 9th',5,' Never-married',' Machine-op-inspct',' Not-in-family',' White',' Male',0,0,50,' Dominican-Republic',' <=50K'
32,' ?',53042,' HS-grad',9,' Never-married',' ?',' Own-child',' Black',' Male',0,0,40,' United-States',' <=50K'
32,' Private',43403,' Some-college',10,' Divorced',' Farming-fishing',' Not-in-family',' White',' Female',0,1590,54,' United-States',' <=50K'
53,' Private',99476,' HS-grad',9,' Divorced',' Other-service',' Not-in-family',' White',' Female',0,0,38,' United-States',' <=50K'
38,' Private',364782,' HS-grad',9,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
46,' State-gov',106705,' Masters',14,' Never-married',' Exec-managerial',' Not-in-family',' White',' Female',0,0,38,' United-States',' <=50K'
69,' Private',88566,' 9th',5,' Married-civ-spouse',' Other-service',' Husband',' White',' Male',1424,0,35,' United-States',' <=50K'
26,' Private',152035,' HS-grad',9,' Never-married',' Adm-clerical',' Own-child',' White',' Female',0,0,40,' United-States',' <=50K'
51,' Local-gov',199688,' Bachelors',13,' Married-civ-spouse',' Protective-serv',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
32,' ?',282622,' HS-grad',9,' Divorced',' ?',' Unmarried',' White',' Female',0,0,28,' United-States',' <=50K'
43,' Private',336513,' Some-college',10,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,1902,40,' United-States',' >50K'
57,' Private',170244,' Prof-school',15,' Never-married',' Prof-specialty',' Not-in-family',' White',' Female',0,0,40,' United-States',' <=50K'
40,' State-gov',119578,' Bachelors',13,' Never-married',' Prof-specialty',' Unmarried',' White',' Female',0,0,20,' United-States',' <=50K'
49,' Private',83444,' HS-grad',9,' Divorced',' Exec-managerial',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
63,' Self-emp-not-inc',159715,' 10th',6,' Married-civ-spouse',' Machine-op-inspct',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
32,' Private',408328,' 7th-8th',4,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
75,' Private',95985,' 5th-6th',3,' Widowed',' Other-service',' Unmarried',' Black',' Male',0,0,10,' United-States',' <=50K'
29,' Local-gov',329426,' HS-grad',9,' Never-married',' Protective-serv',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
39,' Private',99065,' Bachelors',13,' Married-civ-spouse',' Handlers-cleaners',' Wife',' White',' Female',0,0,40,' Poland',' >50K'
27,' Private',35032,' Some-college',10,' Married-civ-spouse',' Handlers-cleaners',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
41,' Local-gov',52037,' Some-college',10,' Divorced',' Adm-clerical',' Unmarried',' White',' Female',0,0,40,' United-States',' <=50K'
30,' Self-emp-inc',68330,' Some-college',10,' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,50,' United-States',' <=50K'
49,' Private',87928,' HS-grad',9,' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
25,' Private',511331,' Bachelors',13,' Never-married',' Sales',' Not-in-family',' White',' Male',0,0,38,' United-States',' <=50K'
20,' Self-emp-not-inc',186014,' Some-college',10,' Never-married',' Adm-clerical',' Own-child',' White',' Female',0,0,12,' Germany',' <=50K'
28,' State-gov',19395,' Some-college',10,' Never-married',' Adm-clerical',' Not-in-family',' White',' Female',0,0,38,' United-States',' <=50K'
20,' ?',307149,' Some-college',10,' Never-married',' ?',' Own-child',' White',' Female',0,0,35,' United-States',' <=50K'
29,' Private',237865,' Masters',14,' Never-married',' Transport-moving',' Own-child',' Black',' Male',0,0,40,' United-States',' <=50K'
39,' Local-gov',113253,' Bachelors',13,' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',0,0,50,' United-States',' >50K'
68,' Private',253866,' Bachelors',13,' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,30,' United-States',' <=50K'
32,' Private',256609,' 12th',8,' Married-civ-spouse',' Machine-op-inspct',' Husband',' White',' Male',0,0,40,' Mexico',' <=50K'
42,' Private',201785,' Masters',14,' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,50,' United-States',' >50K'
25,' Private',132749,' 11th',7,' Divorced',' Other-service',' Unmarried',' White',' Female',0,0,12,' United-States',' <=50K'
19,' Private',406078,' Some-college',10,' Never-married',' Adm-clerical',' Own-child',' White',' Female',0,0,25,' United-States',' <=50K'
60,' Private',181953,' HS-grad',9,' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',0,0,28,' United-States',' <=50K'
18,' Private',232024,' 11th',7,' Never-married',' Machine-op-inspct',' Own-child',' White',' Male',0,0,55,' United-States',' <=50K'
40,' Private',118001,' HS-grad',9,' Never-married',' Handlers-cleaners',' Not-in-family',' Black',' Male',0,0,40,' United-States',' <=50K'
51,' Private',55507,' HS-grad',9,' Married-civ-spouse',' Craft-repair',' Husband',' Black',' Male',0,0,40,' United-States',' <=50K'
55,' Private',80445,' Bachelors',13,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
45,' Private',168837,' Some-college',10,' Married-civ-spouse',' Adm-clerical',' Wife',' White',' Female',0,0,24,' Canada',' >50K'
41,' Private',282948,' Some-college',10,' Married-civ-spouse',' Tech-support',' Husband',' Black',' Male',3137,0,40,' United-States',' <=50K'
48,' Private',398843,' Some-college',10,' Separated',' Sales',' Unmarried',' Black',' Female',0,0,35,' United-States',' <=50K'
19,' ?',124884,' 9th',5,' Never-married',' ?',' Not-in-family',' White',' Female',0,0,25,' United-States',' <=50K'
63,' ?',203821,' HS-grad',9,' Married-civ-spouse',' ?',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
36,' Self-emp-not-inc',206520,' Bachelors',13,' Never-married',' Craft-repair',' Own-child',' White',' Male',0,0,40,' United-States',' <=50K'
19,' Private',278870,' Some-college',10,' Never-married',' Handlers-cleaners',' Own-child',' White',' Male',0,0,16,' United-States',' <=50K'
46,' Private',263568,' HS-grad',9,' Married-civ-spouse',' Machine-op-inspct',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
48,' Private',175925,' HS-grad',9,' Married-civ-spouse',' Machine-op-inspct',' Husband',' White',' Male',0,0,48,' United-States',' <=50K'
26,' Private',154966,' Some-college',10,' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,50,' United-States',' >50K'
31,' ?',345497,' 10th',6,' Married-civ-spouse',' ?',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
38,' Self-emp-inc',257250,' HS-grad',9,' Never-married',' Farming-fishing',' Not-in-family',' White',' Male',0,0,50,' United-States',' <=50K'
23,' Private',107578,' Bachelors',13,' Never-married',' Adm-clerical',' Own-child',' White',' Female',2174,0,40,' United-States',' <=50K'
33,' Self-emp-not-inc',118267,' Assoc-acdm',12,' Divorced',' Sales',' Not-in-family',' White',' Male',0,0,60,' United-States',' <=50K'
23,' State-gov',305498,' Assoc-voc',11,' Never-married',' Tech-support',' Not-in-family',' White',' Female',0,0,40,' United-States',' <=50K'
42,' Self-emp-inc',123838,' Prof-school',15,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,1977,50,' United-States',' >50K'
48,' Private',192894,' Doctorate',16,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
22,' Private',36011,' Assoc-voc',11,' Never-married',' Prof-specialty',' Not-in-family',' White',' Male',0,0,30,' United-States',' <=50K'
21,' Private',64520,' HS-grad',9,' Never-married',' Sales',' Not-in-family',' White',' Male',0,0,55,' United-States',' <=50K'
50,' Private',202296,' Assoc-voc',11,' Separated',' Prof-specialty',' Unmarried',' White',' Female',0,0,40,' United-States',' <=50K'
48,' Federal-gov',94342,' Bachelors',13,' Divorced',' Exec-managerial',' Not-in-family',' White',' Male',0,0,45,' United-States',' <=50K'
24,' Private',157332,' Some-college',10,' Never-married',' Machine-op-inspct',' Own-child',' White',' Female',0,0,42,' United-States',' <=50K'
57,' Private',183810,' Some-college',10,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
62,' Self-emp-inc',200577,' Masters',14,' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,45,' United-States',' >50K'
35,' Private',199753,' HS-grad',9,' Never-married',' Machine-op-inspct',' Own-child',' White',' Male',0,0,48,' United-States',' <=50K'
38,' Private',169926,' Assoc-acdm',12,' Married-civ-spouse',' Exec-managerial',' Wife',' White',' Female',0,1902,40,' United-States',' >50K'
51,' Private',306108,' Doctorate',16,' Never-married',' Prof-specialty',' Not-in-family',' White',' Male',0,0,40,' United-States',' >50K'
19,' Private',274657,' 5th-6th',3,' Never-married',' Other-service',' Not-in-family',' White',' Male',0,0,50,' Guatemala',' <=50K'
42,' Private',413297,' Some-college',10,' Married-civ-spouse',' Tech-support',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
52,' Self-emp-inc',206054,' Some-college',10,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
18,' Private',50879,' 10th',6,' Never-married',' Other-service',' Own-child',' White',' Male',0,0,6,' United-States',' <=50K'
40,' Private',37618,' Some-college',10,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' ?',' <=50K'
41,' Local-gov',111891,' 7th-8th',4,' Never-married',' Other-service',' Unmarried',' Black',' Female',0,0,40,' United-States',' <=50K'
55,' Self-emp-not-inc',124975,' HS-grad',9,' Divorced',' Craft-repair',' Unmarried',' White',' Male',27828,0,55,' United-States',' >50K'
47,' Private',211239,' Some-college',10,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
20,' Private',293091,' 11th',7,' Never-married',' Transport-moving',' Own-child',' White',' Male',0,0,60,' United-States',' <=50K'
51,' Private',114927,' Assoc-voc',11,' Married-civ-spouse',' Tech-support',' Husband',' White',' Male',7298,0,40,' United-States',' >50K'
22,' Private',505980,' HS-grad',9,' Never-married',' Handlers-cleaners',' Own-child',' White',' Male',0,0,40,' United-States',' <=50K'
55,' Self-emp-not-inc',158315,' HS-grad',9,' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,50,' United-States',' >50K'
39,' Private',166744,' HS-grad',9,' Never-married',' Other-service',' Own-child',' White',' Female',0,0,38,' United-States',' <=50K'
18,' Private',71792,' HS-grad',9,' Never-married',' Sales',' Own-child',' Asian-Pac-Islander',' Female',0,0,40,' United-States',' <=50K'
40,' Private',287983,' Bachelors',13,' Never-married',' Tech-support',' Not-in-family',' Asian-Pac-Islander',' Female',0,2258,48,' Philippines',' <=50K'
44,' Private',45093,' HS-grad',9,' Married-civ-spouse',' Farming-fishing',' Husband',' White',' Male',0,0,70,' United-States',' <=50K'
55,' Self-emp-inc',138594,' HS-grad',9,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,1977,45,' United-States',' >50K'
36,' Private',383518,' Some-college',10,' Married-civ-spouse',' Adm-clerical',' Wife',' Black',' Female',99999,0,40,' United-States',' >50K'
47,' Private',436770,' Assoc-voc',11,' Never-married',' Prof-specialty',' Not-in-family',' White',' Female',0,0,40,' United-States',' <=50K'
23,' Private',178818,' HS-grad',9,' Never-married',' Adm-clerical',' Not-in-family',' White',' Female',0,0,40,' United-States',' <=50K'
20,' Private',59948,' 9th',5,' Never-married',' Adm-clerical',' Unmarried',' Black',' Female',114,0,20,' United-States',' <=50K'
19,' ?',169324,' Some-college',10,' Never-married',' ?',' Own-child',' White',' Male',0,0,10,' United-States',' <=50K'
33,' Private',324546,' Some-college',10,' Married-civ-spouse',' Machine-op-inspct',' Husband',' White',' Male',0,0,39,' United-States',' <=50K'
27,' Private',104329,' 11th',7,' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
