@relation adult-weka.filters.unsupervised.instance.Resample-S1-Z20.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z5.0-no-replacement-weka.filters.unsupervised.instance.Resample-S1-Z30.0-no-replacement

@attribute age numeric
@attribute ' workclass' {' State-gov',' Self-emp-not-inc',' Private',' Federal-gov',' Local-gov',' ?',' Self-emp-inc',' Without-pay',' Never-worked'}
@attribute fnlwgt numeric
@attribute education {' Bachelors',' HS-grad',' 11th',' Masters',' 9th',' Some-college',' Assoc-acdm',' Assoc-voc',' 7th-8th',' Doctorate',' Prof-school',' 5th-6th',' 10th',' 1st-4th',' Preschool',' 12th'}
@attribute edu_num numeric
@attribute marital {' Never-married',' Married-civ-spouse',' Divorced',' Married-spouse-absent',' Separated',' Married-AF-spouse',' Widowed'}
@attribute occupation {' Adm-clerical',' Exec-managerial',' Handlers-cleaners',' Prof-specialty',' Other-service',' Sales',' Craft-repair',' Transport-moving',' Farming-fishing',' Machine-op-inspct',' Tech-support',' ?',' Protective-serv',' Armed-Forces',' Priv-house-serv'}
@attribute relationship {' Not-in-family',' Husband',' Wife',' Own-child',' Unmarried',' Other-relative'}
@attribute race {' White',' Black',' Asian-Pac-Islander',' Amer-Indian-Eskimo',' Other'}
@attribute sex {' Male',' Female'}
@attribute cap_gain numeric
@attribute cap_loss numeric
@attribute hr_per_wk numeric
@attribute native {' United-States',' Cuba',' Jamaica',' India',' ?',' Mexico',' South',' Puerto-Rico',' Honduras',' England',' Canada',' Germany',' Iran',' Philippines',' Italy',' Poland',' Columbia',' Cambodia',' Thailand',' Ecuador',' Laos',' Taiwan',' Haiti',' Portugal',' Dominican-Republic',' El-Salvador',' France',' Guatemala',' China',' Japan',' Yugoslavia',' Peru',' Outlying-US(Guam-USVI-etc)',' Scotland',' Trinadad&Tobago',' Greece',' Nicaragua',' Vietnam',' Hong',' Ireland',' Hungary',' Holand-Netherlands'}
@attribute class {' <=50K',' >50K'}

@data
42,' Private',245626,' HS-grad',9,' Married-civ-spouse',' Craft-repair',' Husband',' Amer-Indian-Eskimo',' Male',0,0,60,' United-States',' <=50K'
31,' Private',300687,' HS-grad',9,' Never-married',' Other-service',' Not-in-family',' Black',' Male',0,0,40,' United-States',' <=50K'
71,' Local-gov',365996,' Bachelors',13,' Widowed',' Prof-specialty',' Unmarried',' White',' Female',0,0,6,' United-States',' <=50K'
42,' Self-emp-not-inc',64632,' HS-grad',9,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,50,' United-States',' <=50K'
56,' Federal-gov',130454,' Bachelors',13,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
33,' Private',637222,' 12th',8,' Divorced',' Machine-op-inspct',' Unmarried',' Black',' Female',0,0,40,' United-States',' <=50K'
53,' Private',99476,' HS-grad',9,' Divorced',' Other-service',' Not-in-family',' White',' Female',0,0,38,' United-States',' <=50K'
51,' Local-gov',199688,' Bachelors',13,' Married-civ-spouse',' Protective-serv',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
40,' State-gov',119578,' Bachelors',13,' Never-married',' Prof-specialty',' Unmarried',' White',' Female',0,0,20,' United-States',' <=50K'
49,' Private',83444,' HS-grad',9,' Divorced',' Exec-managerial',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
32,' Private',408328,' 7th-8th',4,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
75,' Private',95985,' 5th-6th',3,' Widowed',' Other-service',' Unmarried',' Black',' Male',0,0,10,' United-States',' <=50K'
30,' Self-emp-inc',68330,' Some-college',10,' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,50,' United-States',' <=50K'
20,' Self-emp-not-inc',186014,' Some-college',10,' Never-married',' Adm-clerical',' Own-child',' White',' Female',0,0,12,' Germany',' <=50K'
20,' ?',307149,' Some-college',10,' Never-married',' ?',' Own-child',' White',' Female',0,0,35,' United-States',' <=50K'
32,' Private',256609,' 12th',8,' Married-civ-spouse',' Machine-op-inspct',' Husband',' White',' Male',0,0,40,' Mexico',' <=50K'
42,' Private',201785,' Masters',14,' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,50,' United-States',' >50K'
60,' Private',181953,' HS-grad',9,' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',0,0,28,' United-States',' <=50K'
18,' Private',232024,' 11th',7,' Never-married',' Machine-op-inspct',' Own-child',' White',' Male',0,0,55,' United-States',' <=50K'
41,' Private',282948,' Some-college',10,' Married-civ-spouse',' Tech-support',' Husband',' Black',' Male',3137,0,40,' United-States',' <=50K'
19,' ?',124884,' 9th',5,' Never-married',' ?',' Not-in-family',' White',' Female',0,0,25,' United-States',' <=50K'
63,' ?',203821,' HS-grad',9,' Married-civ-spouse',' ?',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
19,' Private',278870,' Some-college',10,' Never-married',' Handlers-cleaners',' Own-child',' White',' Male',0,0,16,' United-States',' <=50K'
26,' Private',154966,' Some-college',10,' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,50,' United-States',' >50K'
38,' Self-emp-inc',257250,' HS-grad',9,' Never-married',' Farming-fishing',' Not-in-family',' White',' Male',0,0,50,' United-States',' <=50K'
23,' Private',107578,' Bachelors',13,' Never-married',' Adm-clerical',' Own-child',' White',' Female',2174,0,40,' United-States',' <=50K'
42,' Self-emp-inc',123838,' Prof-school',15,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,1977,50,' United-States',' >50K'
48,' Private',192894,' Doctorate',16,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
50,' Private',202296,' Assoc-voc',11,' Separated',' Prof-specialty',' Unmarried',' White',' Female',0,0,40,' United-States',' <=50K'
48,' Federal-gov',94342,' Bachelors',13,' Divorced',' Exec-managerial',' Not-in-family',' White',' Male',0,0,45,' United-States',' <=50K'
24,' Private',157332,' Some-college',10,' Never-married',' Machine-op-inspct',' Own-child',' White',' Female',0,0,42,' United-States',' <=50K'
57,' Private',183810,' Some-college',10,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
35,' Private',199753,' HS-grad',9,' Never-married',' Machine-op-inspct',' Own-child',' White',' Male',0,0,48,' United-States',' <=50K'
51,' Private',306108,' Doctorate',16,' Never-married',' Prof-specialty',' Not-in-family',' White',' Male',0,0,40,' United-States',' >50K'
19,' Private',274657,' 5th-6th',3,' Never-married',' Other-service',' Not-in-family',' White',' Male',0,0,50,' Guatemala',' <=50K'
52,' Self-emp-inc',206054,' Some-college',10,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
18,' Private',50879,' 10th',6,' Never-married',' Other-service',' Own-child',' White',' Male',0,0,6,' United-States',' <=50K'
47,' Private',211239,' Some-college',10,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
51,' Private',114927,' Assoc-voc',11,' Married-civ-spouse',' Tech-support',' Husband',' White',' Male',7298,0,40,' United-States',' >50K'
55,' Self-emp-not-inc',158315,' HS-grad',9,' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,50,' United-States',' >50K'
39,' Private',166744,' HS-grad',9,' Never-married',' Other-service',' Own-child',' White',' Female',0,0,38,' United-States',' <=50K'
40,' Private',287983,' Bachelors',13,' Never-married',' Tech-support',' Not-in-family',' Asian-Pac-Islander',' Female',0,2258,48,' Philippines',' <=50K'
55,' Self-emp-inc',138594,' HS-grad',9,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,1977,45,' United-States',' >50K'
33,' Private',324546,' Some-college',10,' Married-civ-spouse',' Machine-op-inspct',' Husband',' White',' Male',0,0,39,' United-States',' <=50K'
75,' State-gov',113868,' Doctorate',16,' Married-civ-spouse',' Prof-specialty',' Husband',' Black',' Male',0,0,20,' United-States',' >50K'
40,' Private',104719,' Some-college',10,' Married-civ-spouse',' Handlers-cleaners',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
63,' Self-emp-not-inc',125178,' Bachelors',13,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
33,' Self-emp-not-inc',270889,' HS-grad',9,' Never-married',' Transport-moving',' Not-in-family',' White',' Male',0,0,60,' United-States',' <=50K'
63,' Private',273010,' HS-grad',9,' Married-civ-spouse',' Adm-clerical',' Wife',' White',' Female',3471,0,40,' United-States',' <=50K'
17,' Private',130795,' 10th',6,' Never-married',' Other-service',' Own-child',' White',' Male',0,0,20,' United-States',' <=50K'
52,' Private',158746,' HS-grad',9,' Never-married',' Other-service',' Unmarried',' White',' Male',0,0,40,' United-States',' <=50K'
35,' Private',57640,' HS-grad',9,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,35,' United-States',' <=50K'
29,' Local-gov',289991,' Masters',14,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,50,' United-States',' <=50K'
44,' Private',320277,' Bachelors',13,' Never-married',' Prof-specialty',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
27,' Self-emp-not-inc',206889,' Some-college',10,' Married-civ-spouse',' Farming-fishing',' Husband',' White',' Male',0,0,50,' United-States',' <=50K'
25,' Private',479765,' 7th-8th',4,' Never-married',' Sales',' Other-relative',' White',' Male',0,0,45,' Guatemala',' <=50K'
36,' Local-gov',285865,' Bachelors',13,' Never-married',' Adm-clerical',' Not-in-family',' Black',' Female',0,0,40,' United-States',' <=50K'
40,' Private',135056,' HS-grad',9,' Never-married',' Adm-clerical',' Not-in-family',' White',' Female',0,0,45,' United-States',' <=50K'
35,' Private',33397,' HS-grad',9,' Divorced',' Other-service',' Not-in-family',' White',' Female',0,0,35,' United-States',' <=50K'
32,' Private',200246,' Bachelors',13,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
31,' Private',48189,' HS-grad',9,' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',0,0,45,' United-States',' <=50K'
68,' Private',224338,' Assoc-voc',11,' Widowed',' Exec-managerial',' Not-in-family',' White',' Female',0,0,40,' United-States',' <=50K'
65,' Private',149811,' HS-grad',9,' Divorced',' Adm-clerical',' Unmarried',' White',' Female',0,2206,59,' Canada',' <=50K'
35,' Self-emp-inc',196373,' Bachelors',13,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,45,' United-States',' >50K'
20,' ?',124954,' Some-college',10,' Never-married',' ?',' Own-child',' White',' Male',0,0,30,' United-States',' <=50K'
62,' Private',121319,' Bachelors',13,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',3103,0,40,' United-States',' >50K'
30,' Private',97933,' Assoc-acdm',12,' Married-civ-spouse',' Transport-moving',' Wife',' White',' Female',0,1485,37,' United-States',' >50K'
38,' Self-emp-inc',275223,' Bachelors',13,' Married-civ-spouse',' Sales',' Husband',' White',' Male',7688,0,40,' United-States',' >50K'
45,' Private',360393,' Masters',14,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,1902,50,' United-States',' >50K'
40,' Private',53506,' Bachelors',13,' Divorced',' Craft-repair',' Own-child',' White',' Female',0,0,40,' United-States',' <=50K'
35,' Private',186934,' HS-grad',9,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',7688,0,50,' United-States',' >50K'
58,' Private',372181,' HS-grad',9,' Divorced',' Sales',' Unmarried',' White',' Female',0,0,40,' United-States',' >50K'
23,' Local-gov',40021,' Some-college',10,' Divorced',' Adm-clerical',' Unmarried',' White',' Female',0,0,70,' United-States',' <=50K'
42,' Private',162003,' Doctorate',16,' Never-married',' Prof-specialty',' Not-in-family',' White',' Male',0,0,36,' United-States',' >50K'
47,' Private',285200,' HS-grad',9,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
90,' ?',77053,' HS-grad',9,' Widowed',' ?',' Not-in-family',' White',' Female',0,4356,40,' United-States',' <=50K'
55,' Local-gov',28151,' HS-grad',9,' Divorced',' Adm-clerical',' Not-in-family',' White',' Female',0,0,40,' United-States',' >50K'
30,' Private',255486,' HS-grad',9,' Married-civ-spouse',' Other-service',' Husband',' Black',' Male',0,0,25,' United-States',' <=50K'
52,' Private',183618,' HS-grad',9,' Married-civ-spouse',' Handlers-cleaners',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
23,' Private',433669,' Assoc-acdm',12,' Never-married',' Adm-clerical',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
33,' Private',165814,' HS-grad',9,' Married-civ-spouse',' Other-service',' Husband',' Black',' Male',0,0,40,' United-States',' <=50K'
33,' Private',295649,' HS-grad',9,' Separated',' Other-service',' Unmarried',' White',' Female',0,0,40,' China',' <=50K'
21,' Private',197182,' Assoc-acdm',12,' Never-married',' Prof-specialty',' Not-in-family',' White',' Female',0,0,40,' United-States',' <=50K'
42,' Private',175935,' HS-grad',9,' Divorced',' Transport-moving',' Not-in-family',' White',' Male',0,1980,46,' United-States',' <=50K'
20,' Private',205895,' Some-college',10,' Never-married',' Sales',' Own-child',' White',' Female',0,0,20,' United-States',' <=50K'
27,' Private',156266,' HS-grad',9,' Never-married',' Sales',' Own-child',' Amer-Indian-Eskimo',' Male',0,0,20,' United-States',' <=50K'
37,' Private',291981,' HS-grad',9,' Divorced',' Machine-op-inspct',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
19,' Private',299598,' HS-grad',9,' Never-married',' Handlers-cleaners',' Own-child',' White',' Male',0,0,16,' United-States',' <=50K'
29,' Private',293073,' Bachelors',13,' Never-married',' Sales',' Not-in-family',' White',' Male',0,0,50,' United-States',' >50K'
45,' Self-emp-inc',185497,' Bachelors',13,' Married-civ-spouse',' Exec-managerial',' Wife',' Asian-Pac-Islander',' Female',0,0,70,' ?',' <=50K'
64,' Private',86972,' Some-college',10,' Divorced',' Exec-managerial',' Unmarried',' White',' Female',0,0,40,' United-States',' <=50K'
29,' Private',262478,' HS-grad',9,' Never-married',' Farming-fishing',' Own-child',' Black',' Male',0,0,30,' United-States',' <=50K'
54,' Private',139703,' Some-college',10,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',3103,0,40,' Germany',' >50K'
37,' Federal-gov',289653,' HS-grad',9,' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male',0,0,50,' United-States',' >50K'
37,' Private',218955,' HS-grad',9,' Married-civ-spouse',' Other-service',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
18,' Private',301867,' HS-grad',9,' Never-married',' Sales',' Own-child',' Amer-Indian-Eskimo',' Female',0,0,20,' United-States',' <=50K'
73,' ?',84053,' HS-grad',9,' Widowed',' ?',' Not-in-family',' White',' Female',0,0,15,' United-States',' <=50K'
28,' Private',314177,' 10th',6,' Never-married',' Handlers-cleaners',' Other-relative',' Black',' Male',0,0,40,' United-States',' <=50K'
42,' Private',135056,' Some-college',10,' Married-civ-spouse',' Adm-clerical',' Wife',' White',' Female',0,0,40,' United-States',' <=50K'
57,' State-gov',290661,' Doctorate',16,' Divorced',' Prof-specialty',' Not-in-family',' White',' Male',0,0,60,' United-States',' >50K'
49,' Local-gov',184428,' Masters',14,' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
50,' Local-gov',311551,' Masters',14,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',7688,0,50,' United-States',' >50K'
57,' Private',103403,' 5th-6th',3,' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
38,' Federal-gov',303817,' Some-college',10,' Divorced',' Exec-managerial',' Not-in-family',' Black',' Female',0,0,40,' United-States',' <=50K'
45,' Private',190088,' HS-grad',9,' Married-spouse-absent',' Adm-clerical',' Unmarried',' White',' Female',0,0,30,' United-States',' <=50K'
48,' Private',248059,' Bachelors',13,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',5013,0,45,' United-States',' <=50K'
52,' Private',124591,' HS-grad',9,' Never-married',' Handlers-cleaners',' Unmarried',' White',' Male',0,0,40,' United-States',' <=50K'
38,' Private',248886,' HS-grad',9,' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male',0,0,42,' United-States',' <=50K'
32,' Private',245487,' 5th-6th',3,' Married-civ-spouse',' Machine-op-inspct',' Husband',' Amer-Indian-Eskimo',' Male',0,0,40,' Mexico',' <=50K'
18,' Private',100875,' 11th',7,' Never-married',' Other-service',' Unmarried',' White',' Female',0,0,28,' United-States',' <=50K'
28,' Self-emp-not-inc',226198,' HS-grad',9,' Divorced',' Exec-managerial',' Not-in-family',' White',' Female',0,0,40,' United-States',' <=50K'
32,' Private',127895,' Some-college',10,' Never-married',' Adm-clerical',' Own-child',' Black',' Female',0,0,40,' United-States',' <=50K'
25,' Private',195994,' 1st-4th',2,' Never-married',' Priv-house-serv',' Not-in-family',' White',' Female',0,0,40,' Guatemala',' <=50K'
24,' State-gov',275421,' Some-college',10,' Never-married',' Machine-op-inspct',' Own-child',' White',' Female',0,0,40,' United-States',' <=50K'
53,' Private',108083,' 7th-8th',4,' Married-civ-spouse',' Farming-fishing',' Husband',' White',' Male',0,0,45,' United-States',' <=50K'
23,' Private',185554,' Bachelors',13,' Never-married',' Prof-specialty',' Own-child',' White',' Female',0,0,40,' United-States',' <=50K'
23,' Private',388811,' HS-grad',9,' Never-married',' Adm-clerical',' Own-child',' White',' Female',0,0,40,' United-States',' <=50K'
28,' Private',221215,' 10th',6,' Never-married',' Handlers-cleaners',' Other-relative',' White',' Male',0,0,40,' Mexico',' <=50K'
30,' Private',227359,' Some-college',10,' Never-married',' Craft-repair',' Unmarried',' White',' Male',0,0,40,' United-States',' <=50K'
27,' Private',183627,' Bachelors',13,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,1977,50,' United-States',' >50K'
22,' Private',256504,' Bachelors',13,' Never-married',' Adm-clerical',' Own-child',' White',' Female',0,0,40,' United-States',' <=50K'
63,' Private',176696,' HS-grad',9,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
36,' Local-gov',101833,' Bachelors',13,' Separated',' Prof-specialty',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
30,' Private',176123,' 10th',6,' Never-married',' Machine-op-inspct',' Other-relative',' Asian-Pac-Islander',' Male',0,0,40,' Vietnam',' <=50K'
40,' Private',170730,' HS-grad',9,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,50,' United-States',' <=50K'
57,' Self-emp-not-inc',327901,' 10th',6,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
24,' Private',225515,' Bachelors',13,' Never-married',' Exec-managerial',' Not-in-family',' White',' Female',0,0,40,' United-States',' <=50K'
56,' Self-emp-inc',165881,' HS-grad',9,' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,50,' United-States',' >50K'
19,' Private',190817,' Some-college',10,' Never-married',' Sales',' Own-child',' White',' Female',0,0,40,' United-States',' <=50K'
18,' Private',115443,' 11th',7,' Never-married',' Handlers-cleaners',' Not-in-family',' White',' Male',0,0,25,' United-States',' <=50K'
67,' Federal-gov',44774,' Bachelors',13,' Widowed',' Adm-clerical',' Not-in-family',' White',' Female',0,0,40,' United-States',' <=50K'
65,' State-gov',326691,' Some-college',10,' Married-civ-spouse',' Machine-op-inspct',' Husband',' Black',' Male',0,0,40,' United-States',' >50K'
82,' Private',132870,' HS-grad',9,' Widowed',' Exec-managerial',' Not-in-family',' White',' Female',0,4356,18,' United-States',' <=50K'
37,' Private',188377,' HS-grad',9,' Never-married',' Machine-op-inspct',' Not-in-family',' Black',' Male',0,0,40,' United-States',' <=50K'
48,' Private',330470,' Some-college',10,' Married-civ-spouse',' Handlers-cleaners',' Husband',' White',' Male',0,0,30,' United-States',' <=50K'
59,' State-gov',186308,' Masters',14,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,50,' United-States',' <=50K'
35,' Private',243409,' Some-college',10,' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',0,0,40,' Germany',' <=50K'
36,' Federal-gov',930948,' Some-college',10,' Separated',' Adm-clerical',' Unmarried',' Black',' Female',6497,0,56,' United-States',' <=50K'
36,' Federal-gov',343052,' HS-grad',9,' Married-civ-spouse',' Adm-clerical',' Wife',' White',' Female',0,0,40,' United-States',' <=50K'
51,' Self-emp-not-inc',276456,' Assoc-acdm',12,' Married-civ-spouse',' Sales',' Husband',' White',' Male',3103,0,30,' United-States',' >50K'
18,' State-gov',109445,' HS-grad',9,' Never-married',' Other-service',' Own-child',' White',' Male',0,0,25,' United-States',' <=50K'
22,' Private',103277,' Assoc-acdm',12,' Never-married',' Adm-clerical',' Own-child',' White',' Female',0,0,20,' United-States',' <=50K'
29,' Private',109814,' Bachelors',13,' Never-married',' Handlers-cleaners',' Own-child',' White',' Male',0,0,40,' United-States',' <=50K'
23,' Private',237720,' Bachelors',13,' Never-married',' Prof-specialty',' Not-in-family',' White',' Male',0,0,38,' United-States',' <=50K'
51,' Self-emp-not-inc',136836,' Assoc-acdm',12,' Divorced',' Transport-moving',' Unmarried',' Black',' Female',0,0,30,' United-States',' <=50K'
31,' Self-emp-not-inc',325355,' Bachelors',13,' Married-civ-spouse',' Exec-managerial',' Wife',' White',' Female',0,1902,40,' United-States',' >50K'
33,' ?',160776,' Assoc-voc',11,' Divorced',' ?',' Not-in-family',' White',' Female',0,0,40,' France',' <=50K'
38,' Self-emp-not-inc',115215,' 10th',6,' Separated',' Machine-op-inspct',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
37,' ?',102541,' Assoc-voc',11,' Married-civ-spouse',' ?',' Wife',' Amer-Indian-Eskimo',' Female',0,0,40,' United-States',' <=50K'
26,' Private',248990,' HS-grad',9,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' Mexico',' <=50K'
