@relation yeast-weka.filters.unsupervised.attribute.Remove-R1_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A9-N200-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute loc_site {MIT,NUC,CYT,ME1,EXC,ME2,ME3,VAC,POX,ERL}

@data
0.052215,-0.030439,-0.000474,-0.017118,-0.010672,0.013575,-0.00794,-0.022444,NUC
0.026585,0.02484,-0.016372,-0.013994,-0.007943,0.016803,0.00825,0.019552,CYT
0.014489,0.002476,-0.002604,0.007925,-0.014234,0.023159,0.033576,0.037534,NUC
0.008633,-0.007678,0.012166,-0.00926,0.013357,0.049243,-0.014636,-0.011675,CYT
0.036324,0.013111,-0.013693,-0.019851,-0.01164,-0.009042,0.013773,0.000127,CYT
0.039408,-0.013674,0.010778,-0.006136,-0.021248,-0.019466,0.030808,-0.005369,NUC
0.011107,-0.006883,0.040875,-0.003707,0.004167,0.031435,0.008898,-0.014339,NUC
0.012235,0.004451,0.011843,-0.010062,0.009064,0.04585,-0.012383,-0.00484,NUC
0.01545,0.011197,0.024733,-0.001366,-0.005789,0.024015,0.016612,0.009062,CYT
0.03194,-0.023441,0.018395,-0.01242,-0.004868,0.001655,0.009053,-0.026947,NUC
0.018581,0.010455,0.017845,-0.009118,-0.004323,0.009249,0.017459,-0.0018,CYT
0.05538,0.022035,-0.042612,-0.022889,-0.01962,0.009402,-0.007132,0.020888,NUC
0.022158,-0.001811,0.042269,-0.000625,-0.007386,0.026537,0.017409,-0.00226,NUC
0.014575,-0.000148,0.002697,-0.001776,-0.002059,0.037755,0.010896,0.016516,CYT
-0.00939,0.027481,-0.028047,-0.038808,0.023472,-0.042837,0.01614,-0.03781,NUC
0.01273,-0.001225,0.003113,-0.007454,0.004035,0.033939,0.002177,0.002175,NUC
-0.0005,0.044535,0.0226,-0.029167,0.015628,-0.012496,0.008231,-0.030965,MIT
-0.021405,0.022453,-0.009658,0.003548,0.004347,0.011308,0.051315,0.037172,CYT
-0.021405,0.022453,-0.009658,0.003548,0.004347,0.011308,0.051315,0.037172,CYT
0.017454,0.012448,0.015577,-0.013381,0.002999,0.02444,0.000085,-0.007345,CYT
0.030424,0.011526,-0.003675,-0.008441,-0.009692,0.025256,0.001515,0.014066,NUC
0.007199,0.032652,0.016882,-0.012081,0.004207,0.022268,0.007847,0.003658,NUC
0.05534,0.012913,0.01685,-0.010934,-0.023807,0.017983,0.003268,0.008257,ME3
0.043272,-0.013973,0.019996,-0.012251,-0.009406,0.0223,-0.004348,-0.016104,ME3
0.084379,-0.016803,-0.004551,-0.023763,-0.031277,-0.007776,-0.006139,-0.017043,ME3
0.04731,-0.024678,0.016959,-0.018802,-0.01086,-0.01226,0.004073,-0.037229,ME3
0.091756,-0.018712,0.015077,-0.014047,-0.036802,0.0176,-0.019534,-0.009713,ME3
0.03014,-0.003752,-0.008613,-0.007174,-0.013443,0.005331,0.023319,0.012189,NUC
0.040361,-0.00142,-0.020581,-0.021775,-0.002788,0.02485,-0.018759,-0.00688,CYT
-0.00243,0.00413,0.032349,-0.011839,0.018556,0.035117,-0.005046,-0.024224,CYT
0.039633,-0.008976,-0.015882,-0.000127,-0.022622,0.019063,0.024638,0.031702,CYT
0.048818,0.012546,-0.043047,-0.034455,-0.012658,-0.032597,0.008405,-0.010559,MIT
-0.062282,-0.050305,0.06254,-0.219285,-0.1749,0.038262,-0.013354,-0.002481,POX
0.013847,-0.01178,0.016371,-0.001737,-0.008642,-0.007739,0.044167,0.000154,NUC
0.008746,-0.012537,0.044835,-0.007408,0.004503,0.004325,0.022432,-0.029586,NUC
0.01271,-0.01024,0.009083,-0.001952,-0.002647,0.019852,0.024314,0.005893,NUC
0.004466,-0.030748,-0.004615,-0.020622,0.007855,-0.046551,0.045691,-0.041314,CYT
-0.000915,0.001427,-0.011539,0.008152,-0.009604,0.010296,0.05746,0.042599,CYT
0.016562,-0.008322,0.013415,-0.005613,0.003405,0.041609,-0.002032,-0.002233,CYT
0.004722,-0.007466,0.030114,-0.004382,0.009455,0.037532,0.004503,-0.011874,CYT
0.014031,0.009809,-0.024989,-0.026123,0.001104,-0.037678,0.032058,-0.014749,CYT
0.005076,0.056936,-0.026879,-0.017,-0.002455,-0.001911,0.027377,0.032407,CYT
0.040878,0.009826,-0.028843,-0.012851,-0.017437,0.010292,0.012643,0.024043,CYT
0.046253,0.014554,-0.027615,-0.014571,-0.019464,0.011701,0.007674,0.024026,CYT
0.03339,0.025235,0.013145,-0.009158,-0.020759,-0.009464,0.035902,0.015472,CYT
0.003202,0.025482,0.01923,-0.015425,0.008584,0.010575,0.011087,-0.010354,CYT
0.033333,0.020519,0.017915,-0.005142,-0.017011,0.018975,0.018268,0.018516,CYT
0.025789,0.018639,0.001621,-0.03414,0.016683,0.028121,-0.041899,-0.038113,ME1
0.059097,0.031182,-0.000954,-0.041347,-0.006261,-0.004155,-0.032336,-0.035098,MIT
0.001175,0.02696,0.013688,-0.003988,-0.002135,0.009457,0.035618,0.018194,CYT
0.005449,0.014245,0.004798,-0.024789,0.00706,-0.034432,0.030652,-0.028768,MIT
0.00712,0.004057,0.00711,-0.032676,0.017064,-0.026798,0.00876,-0.052129,MIT
-0.001099,-0.013749,-0.026179,-0.024647,0.017462,-0.016813,0.017829,-0.029092,MIT
-0.014248,0.00844,-0.020864,-0.022738,0.020976,-0.013804,0.022465,-0.018809,MIT
0.035412,0.031464,0.031642,-0.032828,0.006075,0.012596,-0.030735,-0.042577,MIT
0.028459,0.035982,0.031814,-0.031653,0.007661,0.010257,-0.023063,-0.03855,MIT
0.043388,-0.02174,0.023297,-0.018928,-0.004901,0.006399,-0.006392,-0.037855,MIT
0.023666,0.011387,0.004302,-0.026214,0.005145,-0.001762,-0.002976,-0.027899,MIT
-0.008278,-0.037246,0.006809,0.008761,0.011981,0.053723,0.016446,0.007913,MIT
0.022911,-0.002885,0.016316,-0.022102,0.001493,-0.01641,0.015379,-0.034273,MIT
0.037532,-0.026237,-0.027735,-0.036175,0.000748,-0.045548,0.010906,-0.050199,MIT
0.051314,0.009714,0.011172,-0.029052,-0.002735,0.022761,-0.034319,-0.030708,MIT
0.053956,0.01848,-0.039946,-0.039473,-0.005529,-0.004969,-0.025142,-0.018126,MIT
-0.013143,-0.002665,-0.02167,-0.018781,0.017054,-0.018979,0.033962,-0.015683,MIT
0.026295,-0.051668,-0.040839,-0.032478,0.015452,-0.009891,-0.011288,-0.052917,MIT
0.017253,-0.043226,0.012372,-0.020213,0.012413,-0.004833,0.00547,-0.054053,MIT
-0.015295,-0.014185,0.009562,-0.021003,0.018012,-0.047877,0.050456,-0.045728,MIT
0.040683,-0.02889,-0.038077,-0.029609,-0.00302,-0.024256,0.006356,-0.030372,MIT
0.012037,-0.010658,0.020861,-0.024633,0.010927,-0.021869,0.015825,-0.050103,MIT
0.014025,0.008053,-0.018709,-0.028495,0.018214,0.025172,-0.025978,-0.024169,MIT
0.022812,-0.004819,0.005444,-0.018231,0.005168,0.017703,-0.005568,-0.021011,CYT
0.047534,0.024011,-0.042244,-0.022189,-0.018002,0.000325,0.004389,0.021583,CYT
-0.006642,0.024914,0.02625,0.000032,0.005268,0.032991,0.023203,0.016258,CYT
-0.017466,0.038739,-0.041028,-0.026843,0.031365,0.035681,-0.020189,0.001697,EXC
-0.007399,0.018654,0.0028,-0.016269,0.006594,-0.030135,0.047589,-0.00955,MIT
0.023494,0.051494,-0.026356,-0.040399,0.012106,0.00841,-0.02989,-0.016463,ME1
0.033953,-0.028722,0.05907,-0.136619,0.163489,-0.037012,-0.05649,0.147242,ERL
-0.006772,0.061095,0.004905,-0.022614,0.013714,0.004928,0.005742,-0.00102,VAC
0.057123,-0.000238,0.008287,-0.020032,-0.011809,0.029757,-0.0252,-0.014008,ME3
0.018223,-0.004696,0.003207,-0.013847,0.008575,0.039776,-0.015003,-0.011543,NUC
-0.017669,-0.028207,0.004293,-0.003304,0.025275,0.043758,0.005118,-0.013862,CYT
-0.012671,-0.021533,0.008152,-0.00306,0.021193,0.044103,0.004851,-0.010056,CYT
0.027816,0.01613,0.0096,-0.016822,0.002281,0.039047,-0.019771,-0.006229,NUC
-0.030216,-0.017461,0.002376,0.001641,0.024269,0.035327,0.025482,0.00086,NUC
0.021187,-0.056012,-0.010762,0.002842,0.001941,0.054391,-0.001167,0.002212,NUC
0.029183,0.019002,0.019239,-0.029232,0.009441,0.021114,-0.028811,-0.036311,ME2
-0.039945,-0.047626,-0.023131,-0.13215,-0.099681,0.052574,-0.009791,0.028719,POX
0.021664,0.003569,0.002614,-0.006856,-0.005573,0.022093,0.012967,0.009481,NUC
0.018921,-0.013958,-0.021366,-0.017249,-0.005682,-0.037501,0.042106,-0.011911,NUC
0.071996,0.002277,0.048843,-0.012338,-0.029277,0.013637,-0.005449,-0.015843,ME3
-0.00342,0.026954,-0.025128,-0.031184,0.03167,0.042692,-0.039888,-0.019848,EXC
-0.016452,0.028074,-0.024523,-0.026784,0.035455,0.043766,-0.029998,-0.013719,EXC
0.011791,-0.008164,-0.02634,-0.00577,0.002168,0.033687,0.007605,0.01802,CYT
-0.02156,0.036419,-0.034313,0.001142,0.002628,0.012546,0.052457,0.055737,CYT
-0.02156,0.036419,-0.034313,0.001142,0.002628,0.012546,0.052457,0.055737,CYT
0.007334,0.005321,0.020606,-0.013858,0.006887,0.005547,0.015773,-0.018392,MIT
-0.018299,0.054088,-0.019391,-0.003017,0.002847,0.013686,0.043828,0.049951,MIT
0.039842,-0.0044,-0.022958,-0.014351,-0.008169,0.029571,-0.008756,0.008523,MIT
-0.0035,0.014823,-0.011487,-0.006758,0.010396,0.038733,0.007073,0.017751,MIT
-0.017385,0.046297,-0.036747,-0.006022,0.002878,0.002718,0.047934,0.048849,MIT
-0.006193,-0.008674,0.040835,-0.002072,0.006259,0.000465,0.042413,-0.016197,CYT
0.038849,-0.014395,0.023884,0.006734,-0.026246,0.011516,0.035259,0.018157,CYT
0.010617,0.016962,-0.004752,-0.010001,0.003515,0.03211,0.003641,0.012253,CYT
0.035699,0.010472,-0.04009,-0.034409,-0.004479,-0.03691,0.00885,-0.019703,MIT
0.005044,-0.020717,-0.027268,0.007064,-0.003788,0.035171,0.031803,0.037388,MIT
0.044413,-0.006459,0.048619,-0.021114,-0.003456,0.011391,-0.013773,-0.046547,ME3
0.080422,-0.013249,0.030824,-0.019955,-0.028012,0.004477,-0.011449,-0.027852,ME3
-0.061926,-0.039491,0.022785,-0.222123,-0.173977,0.051185,-0.024808,0.020561,POX
-0.0009,0.033402,-0.003868,-0.014463,0.009706,0.020153,0.00643,0.007343,NUC
0.031065,-0.048895,0.030829,0.001716,-0.002406,0.049938,-0.004524,-0.016791,NUC
0.001409,0.006414,0.022716,-0.005781,0.009878,0.037307,0.005052,-0.003224,NUC
0.07677,0.018907,-0.031377,-0.024815,-0.026873,0.021376,-0.025493,0.014934,VAC
0.007613,-0.05849,-0.029205,-0.000208,0.003461,0.013715,0.028848,-0.000583,NUC
0.008474,-0.014445,-0.008649,-0.000534,-0.001853,0.017646,0.026677,0.013201,NUC
0.020137,-0.00978,0.035624,-0.002935,-0.004362,0.020582,0.018088,-0.008878,NUC
0.027652,-0.049844,0.024074,0.007706,-0.012364,0.023417,0.030567,-0.001546,NUC
-0.000013,0.014197,-0.006746,-0.011443,0.01024,0.023304,0.006096,0.003541,NUC
0.02712,-0.018109,0.048206,0.002985,-0.010803,0.025912,0.021309,-0.006312,NUC
0.009923,-0.009926,-0.024105,-0.006358,0.001142,0.020447,0.019051,0.014588,CYT
-0.014365,0.027632,0.055301,-0.010985,0.025957,0.050539,-0.01358,-0.024538,CYT
0.016602,0.012343,0.006157,-0.016966,0.007952,0.029007,-0.01396,-0.01224,NUC
0.003751,-0.049915,0.029847,0.00346,0.0085,0.031745,0.019228,-0.020817,NUC
0.00709,0.015861,-0.040971,-0.032302,0.006432,-0.051384,0.032507,-0.018807,MIT
0.014266,-0.012475,0.01116,-0.00177,0.000613,0.036903,0.009377,0.004172,NUC
0.018277,0.003951,-0.001988,-0.008088,0.002303,0.04424,-0.007154,0.008671,NUC
0.01727,0.033729,-0.011285,-0.018409,0.000225,0.013187,0.00311,0.008804,NUC
0.033897,0.002403,0.04154,-0.012495,-0.00264,0.032127,-0.011422,-0.021579,ME2
0.011041,-0.001928,0.031007,-0.000854,-0.000142,0.029864,0.015278,-0.00056,CYT
0.000186,-0.025238,0.002366,-0.025501,0.011477,-0.06705,0.043555,-0.059234,NUC
0.05507,0.003544,0.014155,-0.020458,-0.010431,0.025728,-0.029083,-0.019947,ME3
0.003584,0.027233,0.007589,-0.011822,0.006627,0.023448,0.00899,0.005576,CYT
-0.021637,-0.000488,0.050602,0.005867,0.019318,0.052315,0.013771,-0.00532,NUC
0.043558,-0.01241,-0.019217,-0.016664,-0.009991,0.014494,-0.002315,-0.00237,NUC
0.03093,0.030078,0.054959,-0.023377,0.01322,0.065242,-0.057535,-0.036763,ME2
0.02474,0.012726,0.005008,-0.007779,-0.00986,0.014217,0.019104,0.01298,CYT
0.017722,0.002069,-0.006124,-0.014572,0.005017,0.026257,-0.005247,-0.004933,CYT
0.017786,-0.009623,-0.000009,0.001168,-0.006249,0.033919,0.018235,0.019571,NUC
0.080761,-0.009931,0.016085,-0.022668,-0.026387,0.006501,-0.019067,-0.02448,ME3
0.038642,0.030818,0.0199,-0.036778,0.010804,0.029332,-0.050443,-0.043128,ME1
0.00623,0.015854,0.019782,-0.004188,0.004655,0.037841,0.0011,0.00542,CYT
